# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
jps.facet.change.listener.init.bridge.ms,1767550562631000000,1767550622641000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1767550562631000000,1767550622641000000,0
jps.global.get.library.by.name.ms,1767550562631000000,1767550622641000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1767550562631000000,1767550622641000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1767550562631000000,1767550622641000000,8
workspaceModel.moduleManagerBridge.create.module.instance.ms,1767550562631000000,1767550622641000000,0
jps.global.handle.before.change.events.ms,1767550562631000000,1767550622641000000,0
jps.load.project.to.empty.storage.ms,1767550562631000000,1767550622641000000,54
jps.reload.project.entities.ms,1767550562631000000,1767550622641000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1767550562631000000,1767550622641000000,5
workspaceModel.global.apply.state.to.project.ms,1767550562631000000,1767550622641000000,22
jps.artifact.entities.serializer.load.entities.ms,1767550562631000000,1767550622641000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1767550562631000000,1767550622641000000,0
jps.global.initialize.library.bridges.after.loading.ms,1767550562631000000,1767550622641000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1767550562631000000,1767550622641000000,14
jps.global.handle.changed.events.ms,1767550562631000000,1767550622641000000,0
workspaceModel.delayed.project.synchronizer.sync.ms,1767550562631000000,1767550622641000000,68
jps.save.changed.project.entities.ms,1767550562631000000,1767550622641000000,0
jps.module.iml.entities.serializer.save.entities.ms,1767550562631000000,1767550622641000000,0
jps.facet.change.listener.process.change.events.ms,1767550562631000000,1767550622641000000,0
jps.save.global.entities.ms,1767550562631000000,1767550622641000000,1
workspaceModel.moduleManagerBridge.get.modules.ms,1767550562631000000,1767550622641000000,0
jps.app.storage.content.reader.load.component.ms,1767550562631000000,1767550622641000000,0
workspaceModel.sync.entities.ms,1767550562631000000,1767550622641000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1767550562631000000,1767550622641000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1767550562631000000,1767550622641000000,1
workspaceModel.orphan.listener.update.ms,1767550562631000000,1767550622641000000,2
jps.library.entities.serializer.save.entities.ms,1767550562631000000,1767550622641000000,0
jps.project.serializers.save.ms,1767550562631000000,1767550622641000000,0
jps.artifact.entities.serializer.save.entities.ms,1767550562631000000,1767550622641000000,0
jps.facet.change.listener.before.change.events.ms,1767550562631000000,1767550622641000000,0
workspaceModel.save.cache.to.file.ms,1767550562631000000,1767550622641000000,36
workspaceModel.mutableEntityStorage.add.diff.ms,1767550562631000000,1767550622641000000,3
jps.storage.jps.conf.reader.load.component.ms,1767550562631000000,1767550622641000000,5
workspaceModel.moduleManagerBridge.newModule.ms,1767550562631000000,1767550622641000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1767550562631000000,1767550622641000000,0
jps.load.initial.state.ms,1767550562631000000,1767550622641000000,3
jps.global.initialize.library.bridges.ms,1767550562631000000,1767550622641000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1767550562631000000,1767550622641000000,0
jps.global.get.library.ms,1767550562631000000,1767550622641000000,0
workspaceModel.mutableEntityStorage.entities.ms,1767550562631000000,1767550622641000000,0
workspaceModel.load.cache.from.file.ms,1767550562631000000,1767550622641000000,74
workspaceModel.moduleManagerBridge.load.module.ms,1767550562631000000,1767550622641000000,0
jps.project.serializers.load.ms,1767550562631000000,1767550622641000000,25
workspaceModel.moduleManagerBridge.load.all.modules.ms,1767550562631000000,1767550622641000000,30
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1767550562631000000,1767550622641000000,1
workspaceModel.mutableEntityStorage.remove.entity.ms,1767550562631000000,1767550622641000000,0
workspaceModel.moduleBridge.update.option.ms,1767550562631000000,1767550622641000000,0
jps.apply.loaded.storage.ms,1767550562631000000,1767550622641000000,13
workspaceModel.moduleBridgeLoader.loading.modules.ms,1767550562631000000,1767550622641000000,243
workspaceModel.moduleBridge.before.changed.ms,1767550562631000000,1767550622641000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1767550562631000000,1767550622641000000,0
workspaceModel.global.updates.count,1767550562631000000,1767550622641000000,0
jps.library.entities.serializer.load.entities.ms,1767550562631000000,1767550622641000000,0
workspaceModel.moduleBridge.facet.initialization.ms,1767550562631000000,1767550622641000000,0
jps.app.storage.content.writer.save.component.ms,1767550562631000000,1767550622641000000,0
jps.module.iml.entities.serializer.load.entities.ms,1767550562631000000,1767550622641000000,12
jps.global.get.libraries.ms,1767550562631000000,1767550622641000000,0
workspaceModel.global.updates.ms,1767550562631000000,1767550622641000000,0
